gamelength,totalgoldblue,earlygoldblue,midgoldblue,lategoldblue,totalgoldred,earlygoldred,midgoldred,lategoldred,earlygolddiff,midgolddiff,lategolddiff,bKills,bTowers,bInhibs,bDragons,bBarons,bHeralds,rKills,rTowers,rInhibs,rDragons,rBarons,rHeralds,bluewin,Year,League_CBLoL,League_CLS,League_EULCS,League_IEM,League_LCK,League_LCL,League_LJL,League_LLN,League_LMS,League_MSI,League_NALCS,League_OPL,League_RR,League_TCL,League_WC,Season_Spring,Season_Summer,Type_International,Type_Playoffs,Type_Promotion,Type_Regional,Type_Season
40,62729,7415,29141,50672,56672,7984,28073,47619,-569,1069,3053,32,9,2,1,0,0,18,4,0,3,1,0,1,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
38,57702,7796,26277,45917,56537,7761,24931,44373,34,1345,1544,20,7,0,3,1,0,18,7,1,1,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
40,70270,8000,31424,55072,56355,7437,26249,46878,563,5175,8193,44,15,4,4,1,0,16,2,0,0,0,0,1,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
41,58612,7834,26344,45168,63119,7858,25226,48523,-25,1119,-3355,20,4,0,0,1,0,42,7,1,4,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
35,60269,6652,22728,42269,48947,6602,23054,38690,50,-326,3578,44,8,1,2,1,0,20,4,0,1,0,0,1,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
24,31022,5231,16449,27601,38074,5269,16368,32156,-38,82,-4556,8,0,0,0,0,0,16,10,2,3,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
39,68888,7865,29577,56143,54795,8457,26974,46593,-591,2602,9550,50,10,2,3,1,0,14,3,0,2,0,0,1,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
43,77050,8942,31390,58285,61654,8882,29861,52181,60,1529,6103,54,11,3,3,2,0,24,9,0,2,0,0,1,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
41,59589,8091,29365,50496,70503,7929,27230,51763,162,2135,-1267,16,6,0,0,1,0,44,11,4,4,1,0,0,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
32,57686,6787,21209,40255,46819,6456,21102,38785,330,107,1470,32,11,3,1,1,0,18,3,0,1,0,0,1,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
52,79673,10888,38215,63511,67461,10576,33320,56042,312,4895,7469,10,11,3,5,1,0,8,7,0,1,0,0,1,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
46,70891,9239,31756,57048,70393,9390,33404,54938,-151,-1649,2109,32,8,2,1,1,0,28,6,1,4,1,0,1,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
38,67964,7992,27895,48640,52080,7941,25337,40854,51,2558,7786,30,11,3,4,2,0,6,4,0,0,0,0,1,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
31,40857,6478,19798,34541,51711,6936,23046,40911,-458,-3248,-6370,8,2,0,1,0,0,24,11,2,3,1,0,0,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
33,54782,7269,25803,44300,44591,6574,21748,37700,696,4055,6600,26,11,2,3,1,0,8,3,0,0,0,0,1,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
38,59361,8055,27596,47024,52276,7637,23971,42716,418,3625,4308,30,10,2,5,0,0,14,3,0,0,0,0,1,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
